FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2481	NA20322	-0.0313982	-0.00662615	0.00213408	0.0217038	-0.0282043	-0.0361644	0.0183705	0.0238251	0.00841879	0.0308968
2368	NA19704	-0.0433556	0.00426894	-0.00610492	0.0347338	-0.0272864	0.0082706	-0.0207337	-0.0184822	-0.0269672	-0.0229729
2367	NA19701	-0.0438964	0.00390379	0.00687412	-0.0777994	-0.00555215	0.015665	-0.00410491	0.000494428	-0.00181693	0.0395276
2496	NA20363	-0.0229078	0.0184731	-0.0117839	0.0237713	-0.0449419	0.00340529	-0.0939567	-0.0684557	0.0733023	-0.0843002
2371	NA19711	-0.0471204	0.00355743	-0.00681356	0.0131931	0.0135972	0.0330191	0.0310856	-0.0278426	0.00676135	-0.0326112
2446	NA20126	-0.0249215	0.0239697	-0.0054136	-0.00130925	-0.0135117	-0.0254649	0.0167723	0.0347359	0.0149937	0.0576753
2485	NA20336	-0.0181564	0.0168038	-0.0976389	-0.159584	-0.193471	0.266768	0.0324917	0.407162	0.177889	0.288078
2487	NA20341	-0.0376472	0.014426	0.338781	-0.104775	0.489982	0.215838	0.0319334	0.134605	-0.104028	0.0290292
2437	NA19985	-0.0292255	0.0094439	0.0519292	0.0774271	-0.0629411	-0.113274	0.360431	-0.212328	-0.181762	0.422917
2466	NA20276	-0.03721	0.00341944	0.0030026	-0.0156478	-0.0088171	0.00724362	0.00410641	-0.0115167	-0.0418255	0.0321735
2446	NA20127	-0.0499549	-0.00288284	-0.016034	-0.0158959	-0.0346281	0.0268665	0.00411967	0.00434652	0.0191466	0.0275777
1328	NA06989	0.0562083	0.0495213	0.00126344	0.0033276	-0.0242133	-0.0053158	-0.0348248	0.0127506	0.00442509	-0.000762383
1377	NA11891	0.055857	0.0377814	0.00550865	0.0202453	-0.00828863	-0.00102458	0.00698836	-0.00825334	-0.000570127	-0.00360951
1349	NA11843	0.0588685	0.0457076	3.35679e-05	0.0088776	0.0102859	0.00117886	0.0209688	0.00790807	0.00443006	0.00711721
1330	NA12341	0.0549812	0.0480034	0.00890575	0.0118098	0.0144212	-0.0182184	-0.00415316	0.000438677	0.00849791	0.0120844
1328	NA06984	0.0587918	0.0442146	0.0238566	-0.0129558	0.0164826	-0.00865118	0.0103954	-0.0201392	0.00164992	-0.016334
1418	NA12275	0.0590718	0.0429221	0.0253184	-0.0161	0.00269621	-0.0298105	0.00520148	-1.90906e-05	-0.0206421	-0.0387991
13291	NA06986	0.0572212	0.0454836	-0.011171	-0.0145492	-0.0095893	-0.00980781	0.000651999	-0.00205063	0.0215442	-0.00353753
1418	NA12272	0.060159	0.0505006	-0.0204172	0.0111021	0.0016785	0.00278403	-0.0084271	-0.0386043	0.00146408	0.0119734
13292	NA07051	0.0569262	0.0427228	0.00211176	-0.0163147	0.00790672	-0.013631	0.00458863	-0.0274913	-0.00525496	-0.0104803
1354	NA12400	0.0588122	0.0416282	-0.00251056	0.0072566	0.0160047	0.00812119	0.00475184	-0.0242336	0.0110804	-0.0123817
1451	NA12777	0.0577838	0.0440301	-0.00787138	-0.0286662	0.00880276	-0.00707681	-0.0142271	0.00756845	0.00250609	0.00790286
1421	NA12287	0.0577778	0.0430092	-0.00528824	-0.00275163	0.00360848	-0.0275842	0.0015338	-0.0453846	-0.00295464	0.00567714
1353	NA12383	0.0562083	0.0481709	-0.0222468	-0.000970769	0.00388264	-0.0087503	-0.0155788	-0.0213893	0.00317146	-0.00974461
1330	NA12340	0.0574236	0.0497869	-0.00267893	-0.00619552	0.0176393	-0.0178782	-0.00749233	-0.0157754	-0.00729592	0.00199934
1418	NA12273	0.0562613	0.0424905	-0.00604185	-0.00100924	0.0220975	-0.0230532	-0.0290515	-0.0350829	0.0089467	-0.00400117
1377	NA11892	0.0567238	0.0501537	-0.0166023	-0.0158938	-0.00198161	-0.0246182	0.00109911	0.000370764	-0.00669343	-0.0133604
1353	NA12546	0.0580323	0.03943	0.0134993	0.00192513	0.021207	0.0134404	-0.000657987	0.00711566	0.0105739	-0.0119778
1458	NA12843	0.0556466	0.0408987	0.0121011	-0.00643043	0.00116874	0.00263921	-0.0473458	0.0195533	-0.0161294	0.00487612
13281	NA12348	0.0581906	0.0444236	-0.00570578	-0.0118262	0.000638571	-0.0058309	0.0169508	0.0103311	0.0181683	-0.0119896
1423	NA11917	0.0589415	0.0477489	0.0312781	-0.00492492	-0.0139405	0.00491749	0.0100457	-0.0298992	0.0173587	0.0105041
1358	NA12718	0.0596061	0.0451591	0.0104229	-0.0132292	0.00938746	-0.0127125	0.00237248	-0.0277338	-0.0243516	0.0417076
1421	NA12282	0.057441	0.0430966	0.0170709	0.00099018	-0.00992093	0.00166146	-0.0391557	0.0109686	-0.00463515	-0.034042
1423	NA11920	0.059913	0.0479525	-0.0100481	0.0160564	-0.0315026	0.00429246	-0.0317551	-0.0139363	-0.00451276	-0.0145228
1451	NA12776	0.0577014	0.0357026	-0.00336624	-0.0144339	-0.0186135	-0.0278727	0.00763688	-0.0222715	0.000551595	0.020044
1421	NA12283	0.0588914	0.0566078	0.0221612	-0.00635792	0.0173461	-0.0266307	-0.0395154	0.00624389	-0.0224483	0.0045635
13291	NA07435	0.0553168	0.0415943	0.0241499	-0.00445505	-0.0225232	0.0396069	0.00498861	-0.00158705	0.0423962	-0.0300533
1456	NA12828	0.0579876	0.0457196	0.0288358	-0.00880483	-0.0188108	-0.0441504	-0.0104266	0.0126307	-0.0101905	0.00891879
13291	NA07045	0.059933	0.048743	0.0421944	-0.0147361	-0.0550646	0.0671192	-0.0162145	0.0242937	-0.0780147	0.0934446
13292	NA07031	0.058696	0.0420298	0.0212988	-0.00462387	0.012852	-0.0202354	-0.00766369	0.0151961	-0.000361758	-0.000924783
1456	NA12827	0.0574623	0.0459495	0.0210921	-0.00211055	0.00772864	-0.0208762	-0.00380017	0.0133539	0.0012545	-0.0369502
1330	NA12343	0.0560417	0.0528204	0.00516656	-0.00378893	0.000968169	0.01336	-0.0177278	0.00214609	0.0125562	-0.0146539
1451	NA12778	0.0571743	0.0468152	0.00483367	-0.0107814	-0.00736907	-0.0164282	0.00824616	-0.016807	-0.0258634	0.00348231
1424	NA11930	0.0564881	0.0392856	0.0150963	0.00532404	-0.0069897	-0.00990537	-0.0220679	-0.0230414	-0.00464982	-0.0139617
1463	NA12890	0.0558588	0.0507841	0.0156108	-0.0133553	-0.0215354	0.0232572	-0.0305603	-0.0125913	0.0184032	0.00468041
13291	NA07037	0.053937	0.0448105	-0.00692725	-0.000364048	0.0207311	-0.0212117	-0.00287149	-0.00458891	0.0135792	-0.00491769
1345	NA07347	0.0618858	0.0433035	0.0131496	0.0108092	0.00992937	-0.0130679	0.00897062	-0.0115665	0.0165879	0.00947597
1456	NA12829	0.0576246	0.0436267	0.0209388	0.00359514	-0.00315126	-0.0344288	-0.0391784	-0.00847685	-0.0318513	-0.0205239
1444	NA12749	0.0574532	0.0474263	0.00182862	0.0244763	-0.00367726	-0.00217586	0.012422	0.00464348	0.00845985	0.0243496
1377	NA11894	0.0557064	0.0506063	-0.00593719	-0.0140289	-0.00360668	-0.0225894	-0.0130293	-8.64258e-05	-0.0102583	0.0168686
1421	NA12286	0.0587882	0.0360465	0.0196414	0.00962719	0.0215121	-0.0183108	0.00670544	-0.00270413	0.00570677	-0.0265481
1423	NA11918	0.0566724	0.0502132	-0.0102725	-0.0103701	0.0180663	-0.0211255	-0.0175142	-0.0170145	-0.00494449	-0.00412109
1456	NA12830	0.0540434	0.0399886	0.0104811	0.00337478	0.0133081	-0.0149432	-0.0294724	0.013845	-0.00246705	0.000798322
1377	NA11893	0.0598854	0.0485136	-0.0121047	-0.00048712	0.00835184	-0.0244487	-0.0217232	0.00936381	0.00365981	-0.00707341
1423	NA11919	0.056343	0.0435499	0.0259104	-0.00757606	-0.0134275	-0.00948541	0.0064548	0.0078374	0.0322886	0.0168654
1353	NA12489	0.0585478	0.0432469	0.0203386	-0.0242717	-0.000540612	0.0162784	0.0297838	0.0333585	0.00802099	-0.0199663
1354	NA12399	0.0560659	0.0373148	0.0163121	-0.0246092	-0.00620308	0.0276576	-0.0164675	-0.0137196	0.014529	-0.0254085
1355	NA12413	0.056396	0.0437443	-0.0252209	0.00181824	0.0149943	-0.00937222	-0.0269382	-0.019499	0.00396626	0.0223242
